course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
19421	Free Beginner Electric Guitar Lessons	0	free	101154	1042	95	All Levels	0.88	4.5	6/15/2012
238934	Pianoforall - Incredible New Way To Learn Piano & Keyboard	200	paid	75499	7676	362	Beginner Level	0.96	30	8/7/2014
41884	Getting Started with Playing Guitar	0	free	47652	1141	26	All Levels	0.68	4	5/29/2013
42271	Complete Guitar System - Beginner to Advanced	145	paid	32935	2713	310	All Levels	0.65	34	5/29/2013
26956	Learn Guitar in 21 Days	20	paid	26504	192	82	All Levels	0.41	2.5	10/21/2012
456284	The Professional Guitar Masterclass	200	paid	21701	1340	136	All Levels	0.3	9.5	4/28/2015
583752	Introduction to Piano - By PGN Piano!	0	free	14922	772	8	All Levels	0.3	0.666666667	8/16/2015
59922	Best Beginner Guitar Lessons by Sam Lyons	20	paid	14560	20	32	All Levels	0.3	2	6/16/2013
198690	Acoustic Guitar Basics	0	free	14495	224	21	Beginner Level	0.47	2	8/7/2014
484670	Guitar Super System Level 1	50	paid	10869	2257	104	Intermediate Level	0.94	5	4/29/2015
953152	The Complete Piano & Music Theory Beginners Course	50	paid	10435	665	23	Expert Level	0.12	1.5	9/15/2016
1191750	Jazz Guitar Tips, Tricks and Licks	0	free	9351	331	21	Intermediate Level	0.18	2	5/1/2017
645202	The Total Beginner's Guitar Course	0	free	9193	357	17	Intermediate Level	0.18	1.5	3/24/2016
200598	LEARN HARMONICA, amaze your friends and have fun - it's easy	200	paid	8857	718	131	Beginner Level	0.43	15.5	4/27/2014
101496	How To Play Blues Guitar - Broonzy & McGhee Blues Lessons	0	free	8240	31	6	All Levels	0.52	1.5	11/23/2013
99324	Acoustic Blues Guitar Lessons	0	free	8217	109	10	Beginner Level	0.3	1	9/30/2013
1132342	Ultimate Beginner Guitar Masterclass	200	paid	8113	79	124	All Levels	0.18	11.5	5/15/2017
194692	Quicklessons Piano Course - Learn to Play Piano by Ear!	200	paid	7178	260	144	Intermediate Level	0.15	8.5	4/12/2014
76524	A new approach to piano and playing songs for beginners	50	paid	7140	72	26	All Levels	0.18	1.5	8/11/2013
409818	Get started playing blues harmonica	0	free	6853	398	23	Intermediate Level	0.99	0.616666667	3/30/2015
517148	Acoustic Fingerstyle Guitar Course: Beginner to Advanced	200	paid	6565	55	56	All Levels	0.11	4	8/4/2015
824044	PI-101 Top 10 Classical Piano Pieces for Beginners	0	free	6292	183	38	Beginner Level	0.96	1	5/30/2016
1052180	"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons"""	100	paid	6271	68	75	All Levels	0.14	5	6/27/2013
65033	Virtual Piano Lessons - A New Way To Learn Piano	50	paid	5830	29	12	Beginner Level	0.14	1	7/21/2013
315576	Guitar Crash Course (No Experience Necessary)	0	free	5769	78	29	Intermediate Level	0.14	1	1/22/2015
364716	Beginner Violin 101: Care, Maintenance, and the Right Gear	0	free	5543	107	29	Beginner Level	0.14	4	3/3/2015
967380	How to play Piano - Go from a Beginner/Intermediate to a Pro	200	paid	5316	159	291	All Levels	0.14	31	10/16/2016
1032864	Learn to Read & Write Music to play Piano & more instruments	115	paid	5292	38	85	Beginner Level	0.14	10.5	12/27/2016
555340	Play Piano in 30 Days! - Start Playing NOW!	0	free	5188	410	58	All Levels	0.14	3	7/26/2015
