course_id,course_title,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp
184780,Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,50,966,157,145,Beginner Level,0.96,7.5,3/21/2014
574428,Fingerpicking Classics - Great songs played fingerstyle!,20,953,11,13,All Levels,0.15,2,8/7/2015
1120410,#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,75,940,3,32,All Levels,1,0.616666667,2/21/2017
956102,Guitar Lessons for complete beginners - super simple and fun,20,936,9,12,Beginner Level,0.44,0.666666667,9/12/2016
505126,Discover Classical Guitar Level 2,75,927,35,123,All Levels,0.24,11.5,9/1/2015
1257976,Your First 10 Guitar Lessons - Learn how to play guitar,0,924,4,18,All Levels,0.72,1,6/29/2017
173776,Ultimate Blues Guitar Beginner Lessons,20,922,57,90,Beginner Level,0.17,10.5,3/8/2014
708696,Instant Bodhran - part one; learn the basics of drumming now,30,920,31,9,All Levels,0.06,1,1/12/2016
769270,Beginner Step by Step Keharwa Theka Tabla Course,20,916,26,16,All Levels,0.4,0.666666667,2/22/2016
1253224,Pentatonic Scale Crash Course for Bass Guitar,0,898,6,24,Beginner Level,0.4,1,6/15/2017
970462,Ukelele expr??s: aprende a tocar en menos de un mes,0,888,64,25,Beginner Level,0.4,1.5,10/17/2016
403078,Percussive Fingerstyle Guitar,50,886,43,74,Intermediate Level,0.57,1.5,2/2/2015
338926,Learn to Play Clarinet: Beginner to Pro in Under Five Hours,50,877,93,88,All Levels,0.85,6,1/1/2015
692812,Play all major scales by ear - no notation required!,40,868,8,62,All Levels,0.55,3.5,12/15/2015
412970,Classical Guitar Essentials - The Basics Part 1,65,861,19,52,Beginner Level,0.11,4.5,5/4/2016
1116700,#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,75,850,3,43,All Levels,0.39,1,2/21/2017
560662,Instant Harmonica - how to get single notes in 5 easy steps,20,835,10,7,All Levels,0.37,0.633333333,7/22/2015
663810,Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,70,834,3,35,All Levels,0.63,1,11/10/2015
1000966,Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,50,833,6,70,Beginner Level,0.07,1.5,11/3/2016
643970,Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,20,823,11,10,All Levels,0.07,0.7,12/11/2015
793234,Piano From Zero To Pro - Beginner Essentials To The Piano,70,811,129,52,All Levels,0.07,3.5,3/16/2016
996888,Play Piano 3: Improvise Chords to Enchanted Evening by Ear,50,809,5,57,All Levels,0.07,1.5,10/30/2016
552650,Beginner Piano,20,776,79,89,Beginner Level,0.07,4,8/5/2015
656364,Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs,70,769,10,33,All Levels,0.07,1,11/2/2015
661814,Piano Runs & Fills #3:  Jazzy Chromatic Chord Song Endings,70,747,5,28,All Levels,0.07,1,11/10/2015
657518,Cracking the Violin Code!,120,746,82,40,Intermediate Level,0.07,5.5,11/17/2015
26648,Play Guitar and Understand Music Quick & Easy in 28 Days!,20,738,6,64,All Levels,0.07,9.5,10/13/2012
182940,Modern Piano Lessons For Beginners,20,736,6,46,Beginner Level,0.07,5,4/1/2014
206332,Rock Drumset Grooves: Level 1,20,709,12,38,All Levels,0.07,2,9/2/2014
324224,Learn to Play the Flute: Beginner to Pro in Under Five Hours,50,707,116,108,All Levels,0.07,7,10/29/2014
